id,address,city,state,zip,latitude,longitude
168,5055 Carmichael Road,Montgomery,AL,36106,32.360132,-86.2192245
167,11120 Memorial Pkwy. SW,Huntsville,AL,35803,34.6244289,-86.56777989999999
166,8969 Highway 20,Madison,AL,35758,34.6648946,-86.7868888
165,103 Inverness Corners,Hoover,AL,35242,33.4190168,-86.6938644
164,4319 University Dr.,Huntsville,AL,35816,34.7344797,-86.6350368
257,1919 West Sunset Ave.,Springdale,AR,72764,36.1744275,-94.1514164
256,1605 Red Wolf Blvd.,Jonesboro,AR,72401,35.8252012,-90.6696704
255,2709 West Walnut,Rogers,AR,72756,36.3346462,-94.15445559999999
254,2548 N. College Ave.,Fayetteville,AR,72703,36.097827,-94.15083659999999
253,7010 Rogers Ave.,Fort Smith,AR,72903,35.3538928,-94.3543854
252,129 Arkansas Blvd.,Texarkana,AR,71854,33.4605801,-94.0409268
251,3521 Central Ave.,Hot Springs,AR,71913,34.4704575,-93.0588401
250,11815 Maralynn Drive,Little Rock,AR,72211,34.7574527,-92.404411
249,3421 John F. Kennedy Blvd.,North Little Rock,AR,72116,34.7868042,-92.26082749999999
